time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
2701156,0.993065,-0.213905,-0.008404,-0.036285,-0.001738,-0.019769,-0.00444346,0.011259333,0.015803895,-0.009955971,-0.020068773,-0.034764324
2701166,0.990376,-0.212682,-0.00987,-0.032451,-0.005404,-0.024014,0.000396737,-0.011401043,0.012939056,-0.013207384,-0.023389533,-0.030617602
2701176,0.990376,-0.212927,-0.007427,-0.039481,-0.003571,-0.020376,0.008072637,0.009757322,0.012954745,-0.012792366,-0.02059695,-0.037400586
2701186,0.993798,-0.214638,-0.008649,-0.032451,-0.002349,-0.019163,-0.011542411,-0.00798737,0.01665221,-0.009556059,-0.018804815,-0.031318787
2701196,0.991354,-0.213171,-0.007916,-0.031812,-0.001738,-0.019163,-0.015547221,0.00402542,0.013917833,-0.008621705,-0.019204037,-0.030644995
2701206,0.991109,-0.211949,-0.00816,-0.032451,-0.00296,-0.019163,-0.00831112,0.01010055,0.013466782,-0.010156219,-0.019339984,-0.030852323
2701216,0.99062,-0.210971,-0.009137,-0.029255,0.000706,-0.022801,0.013509728,-0.006272174,0.012767683,-0.006762711,-0.022631181,-0.028606546
2701226,0.993798,-0.215372,-0.007671,-0.03309,-0.002349,-0.025833,-1.66E-16,-7.63E-18,0.016896459,-0.010205513,-0.025733017,-0.031645997
2701289,0.990131,-0.213416,-0.007671,-0.026699,-0.00846,-0.028865,-0.008390489,0.00940149,0.012820735,-0.014707532,-0.028765779,-0.023954434
2701298.875,0.994531,-0.213416,-0.009626,-0.031812,-0.004182,-0.029471,0.012599383,-0.007033723,0.017114911,-0.012444457,-0.02904156,-0.029995927
2701308.75,0.992087,-0.215372,-0.008404,-0.03309,-0.000516,-0.028865,-0.009839309,0.00934439,0.015139503,-0.008326323,-0.02911451,-0.031802834
2701318.625,0.989642,-0.213416,-0.009626,-0.025421,-0.004793,-0.027652,-0.016297844,0.000801385,0.012306315,-0.010889753,-0.027423274,-0.023732057
2701328.5,0.989887,-0.212193,-0.009626,-0.031812,-0.001127,-0.031897,0.006632917,-0.010305392,0.01234609,-0.009399489,-0.031497828,-0.030825777
2701338.375,0.991598,-0.214394,-0.007183,-0.03309,-0.00296,-0.026439,-0.011300239,0.008481782,0.01443745,-0.010409822,-0.026585321,-0.031425893
2701348.25,0.993554,-0.213416,-0.00816,-0.029895,-0.007237,-0.025833,0.014125257,0.004769211,0.016139881,-0.014704162,-0.025662397,-0.027178265
2701358.125,0.991109,-0.216349,-0.009382,-0.026699,-0.003571,-0.029471,-2.94E-18,3.07E-16,0.014490986,-0.01043195,-0.029288617,-0.025049547
2701421,0.99502,-0.213905,-0.007916,-0.033729,9.50E-05,-0.017344,-0.012459262,-0.001720421,0.017705566,-0.007337202,-0.017230121,-0.032981164
2701431,0.989887,-0.215127,-0.009137,-0.029255,-0.001127,-0.019769,-0.010152317,-0.008739849,0.012946163,-0.007860963,-0.01945662,-0.028418017
2701441,0.995509,-0.212682,-0.005717,-0.034368,-0.005404,-0.017344,0.003678851,0.011202342,0.017922129,-0.013043576,-0.017543369,-0.032144553
2701451,0.994531,-0.214149,-0.010848,-0.034368,-0.003571,-0.018557,0.005751913,-0.010842405,0.01730956,-0.01183855,-0.018000052,-0.032773779
2701461,0.992331,-0.214883,-0.008893,-0.034368,9.50E-05,-0.019163,-0.016419655,0.000874837,0.015236048,-0.007426045,-0.019176679,-0.03354844
2701471,0.991842,-0.213171,-0.008893,-0.036285,-0.005404,-0.019163,0.007443254,-0.010224808,0.014451362,-0.013947293,-0.018571873,-0.034257606
2701481,0.99502,-0.214883,-0.007671,-0.033729,-0.004182,-0.019163,-0.015686284,0.003811228,0.017859403,-0.011390509,-0.019117635,-0.03204883
2701491,0.992331,-0.211705,-0.00816,-0.03309,-0.002349,-0.016738,2.37E-16,1.07E-16,0.014695228,-0.009834979,-0.016635107,-0.031735988
2701570,0.993554,-0.210482,-0.010848,-0.036285,-0.004793,-0.022195,-0.001871454,-0.013790246,0.01556695,-0.012992125,-0.021615727,-0.034585505
2701579.875,0.995509,-0.211705,-0.005228,-0.02606,-0.003571,-0.027046,0.012635975,-0.006863781,0.017682528,-0.009881515,-0.026780426,-0.024668324
2701589.75,0.991109,-0.212193,-0.004495,-0.033729,-0.005404,-0.027046,-0.002198516,0.011314447,0.013513825,-0.012846066,-0.027273977,-0.031455422
2701599.625,0.996976,-0.212438,-0.009626,-0.034368,-0.002349,-0.027046,-0.004167379,-0.010918026,0.019336617,-0.010533736,-0.026555368,-0.033196629
2701609.5,0.994531,-0.211705,-0.008893,-0.028616,-0.006015,-0.039173,0.005954856,-0.010531212,0.016781017,-0.013615436,-0.038607152,-0.026714927
2701619.375,0.993798,-0.212682,-0.007183,-0.030534,-0.00296,-0.034928,-0.008092385,0.010123689,0.016243926,-0.010220597,-0.035092213,-0.028725041
2701629.25,0.996731,-0.21146,-0.009382,-0.035007,-0.002349,-0.033109,0.014235972,-0.004981309,0.018846683,-0.011477755,-0.032806345,-0.033454725
2701639.125,0.98842,-0.211949,-0.008649,-0.024143,-0.003571,-0.040992,2.17E-16,4.08E-16,0.010925952,-0.010188749,-0.040812312,-0.022506114
2701702,0.992331,-0.218305,-0.005717,-0.035646,0.00315,-0.027046,0.010429674,0.005460444,0.016007862,-0.006032553,-0.027229008,-0.035131686
2701712,0.987931,-0.214638,-0.009137,-0.030534,-0.002349,-0.014312,0.00595606,-0.010690977,0.01094552,-0.009553065,-0.013886846,-0.029301378
2701722,0.989642,-0.216105,-0.007427,-0.032451,-0.002349,-0.011887,-0.006846859,0.010594917,0.012910997,-0.009412892,-0.012121466,-0.031054041
2701732,0.989887,-0.215127,-0.008893,-0.032451,-0.00296,-0.014312,0.015527345,-0.003354274,0.012908009,-0.010842789,-0.014071935,-0.030839535
2701742,0.987442,-0.21586,-0.008649,-0.033729,-0.006015,-0.006429,-0.011990075,-0.007423796,0.010699349,-0.012957213,-0.005946054,-0.031810577
2701752,0.992087,-0.213905,-0.006694,-0.031812,-0.00296,-0.004004,0.004069815,0.011091019,0.014838509,-0.00984551,-0.004239114,-0.030362688
2701762,0.989642,-0.214149,-0.008893,-0.028616,-0.004182,-0.005217,-0.009909814,-0.008802483,0.012499126,-0.010088728,-0.004799971,-0.027180131
2701772,0.993798,-0.212193,-0.006205,-0.033729,-0.003571,0.000847,1.02E-16,3.08E-16,0.016217908,-0.010512361,0.000951018,-0.032244391
2701835,0.995265,-0.209015,-0.005717,-0.032451,-0.001127,-0.007642,-0.006274359,0.009735466,0.016925871,-0.007801142,-0.007892365,-0.031457757
2701844.875,0.997709,-0.209749,-0.009137,-0.031812,-0.006015,-0.012493,-0.00812863,-0.009687801,0.01948097,-0.012729031,-0.01193108,-0.029997995
2701854.75,0.997465,-0.208038,-0.006938,-0.035007,-0.003571,-0.019769,0.015783484,-0.000359473,0.018830272,-0.011812514,-0.019623616,-0.033233021
2701864.625,0.996242,-0.20926,-0.006938,-0.033729,-0.001738,-0.030684,-0.002766911,0.011345374,0.017938914,-0.00955465,-0.030966093,-0.032124503
2701874.5,0.994287,-0.208526,-0.00816,-0.036285,-0.004182,-0.028258,-0.015647095,-0.003101551,0.015825706,-0.012101139,-0.027963218,-0.034701957
2701884.375,0.994531,-0.205593,-0.007427,-0.034368,-0.001738,-0.035535,0.012248531,0.006819666,0.015489546,-0.010326225,-0.035666751,-0.032682844
2701894.25,0.99502,-0.209993,-0.00987,-0.032451,-0.002349,-0.039173,-0.001865314,-0.011194406,0.016922063,-0.010759092,-0.038673503,-0.031332272
2701904.125,0.994287,-0.209504,-0.005717,-0.035646,-0.005404,-0.044024,-9.45E-17,8.70E-19,0.016135448,-0.013813038,-0.043860207,-0.033517687
2701967,0.990865,-0.212193,-0.010359,-0.03309,-0.001127,-0.037354,0.007649674,0.003432929,0.013349063,-0.009283597,-0.037557184,-0.031540646
2701977,0.993309,-0.213416,-0.008649,-0.031812,-0.00296,-0.036748,0.007673912,-0.010142757,0.015934151,-0.011276503,-0.036291325,-0.030446029
2701987,0.986954,-0.213905,-0.00645,-0.038203,9.50E-05,-0.028865,0.008821639,0.009334805,0.009807006,-0.009185228,-0.029193945,-0.036824063
2701997,0.989398,-0.214883,-0.006938,-0.03309,-0.001738,-0.028865,-0.001597631,0.011488548,0.012421208,-0.009592202,-0.029149937,-0.031455171
2702007,0.987931,-0.214149,-0.009626,-0.029255,-0.003571,-0.025227,0.010646984,-0.008694251,0.010826972,-0.011096974,-0.02479957,-0.027692004
2702017,0.990131,-0.216349,-0.008404,-0.036925,-0.000516,-0.018557,0.01546844,0.002734511,0.013405232,-0.009645715,-0.018616762,-0.035615453
2702027,0.987687,-0.218305,-0.008893,-0.029895,-0.00296,-0.01795,-0.003544941,-0.011073943,0.011497192,-0.009963854,-0.017499352,-0.028621136
2702037,0.989154,-0.217572,-0.004984,-0.03309,-0.002349,-0.011887,-1.85E-17,1.25E-16,0.012811953,-0.009669648,-0.011830087,-0.031753954
2702100,0.99282,-0.209504,-0.007427,-0.031173,-0.004182,0.00873,-0.007214075,-0.001138216,0.014684828,-0.010120759,0.008783161,-0.029763808
