time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
3195097,1.007731,0.011493,0.023358,-0.03309,-0.004793,-0.008248,0.012153657,-0.007628753,0.007965051,0.008256356,-0.000409587,-0.033430753
3195107,1.008709,0.013448,0.02458,-0.034368,0.001317,-0.002185,-0.002263843,-0.001913608,0.009093695,0.000503817,0.002252676,-0.034385168
3195117,1.007731,0.015404,0.02287,-0.034368,-0.00296,0.003879,0.00800698,0.007026931,0.008051883,-0.003380613,-0.004477768,-0.034256222
3195127,1.009687,0.014182,0.023603,-0.030534,9.50E-05,0.15062,6.02E-07,-0.003169325,0.010057436,-0.136051385,-0.066093907,-0.027209089
3195137,1.009931,0.016627,0.023358,-0.03309,-0.005404,0.002666,-0.008528267,-0.009930765,0.0102531,-0.000662549,-0.005547804,-0.033166878
3195147,1.005043,0.01736,0.021159,-0.028616,-0.001738,-0.00461,0.00171797,-0.000630327,0.005413923,0.004095616,0.000664106,-0.028739052
3195157,1.013109,0.018582,0.023603,-0.035646,-0.006015,-0.000366,0.004584715,0.010990706,0.013484298,0.001776371,-0.005406844,-0.035701009
3195167,1.010176,0.017115,0.02458,-0.033729,-0.003571,-0.003397,0.004253669,0.009230149,0.010568831,0.003488286,-0.001870965,-0.033856586
3195228,1.012376,0.019071,0.02287,-0.02606,-0.003571,-0.03129,-4.56E-05,-8.96E-05,0.01281385,0.028924102,0.010724231,-0.026820271
3195237.875,1.009687,0.017604,0.024091,-0.029895,9.50E-05,-0.035535,0.002586661,0.011008366,0.010064473,0.030925947,0.015505217,-0.0309779
3195247.75,1.011887,0.015649,0.025557,-0.030534,0.00315,-0.03796,-0.003741912,-0.002440588,0.012320796,0.031933786,0.019645166,-0.031265156
3195257.625,1.005531,0.016382,0.019938,-0.028616,-0.001127,-0.04463,0.013313518,-0.004686198,0.005763031,0.039486712,0.018866441,-0.029947279
3195267.5,1.015554,0.017849,0.022625,-0.028616,-0.000516,-0.045843,-0.000592638,0.004472155,0.015952781,0.040645436,0.019665286,-0.0296976
3195277.375,1.013843,0.015404,0.025069,-0.034368,-0.004182,-0.044024,0.005049634,-0.013807244,0.014163314,0.040226938,0.016093756,-0.035490077
3195287.25,1.010909,0.01736,0.023847,-0.03309,-0.006015,-0.047662,-0.002370791,0.002008725,0.011334465,0.044603118,0.01554662,-0.034229506
