time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
392288,1.006265,-0.045957,0.003812,-0.03309,-0.004182,-0.067066,-0.000919858,0.008595353,0.007284022,-0.000129512,-0.067462273,-0.032543978
392297.875,1.005531,-0.045957,0.003079,-0.029255,-0.001738,-0.061002,-0.001396158,-0.00083351,0.006584062,0.001975474,-0.06093497,-0.029379358
392307.75,1.004309,-0.044979,0.005034,-0.026699,-0.001738,-0.062215,0.002815108,-0.006865357,0.005300931,0.002074166,-0.061927785,-0.027335156
392317.625,1.00822,-0.045957,0.007233,-0.034368,-0.001738,-0.048875,-0.001526802,0.003523956,0.00928548,0.000719265,-0.048856145,-0.03443117
392327.5,1.007243,-0.045468,0.004789,-0.030534,-0.003571,-0.050088,-0.007577011,-0.006544529,0.008230377,-0.00064941,-0.049980176,-0.030910277
392337.375,1.008954,-0.041312,0.007233,-0.033729,-0.009682,-0.047056,0.002148289,0.004015858,0.009815047,-0.007308448,-0.047689356,-0.033435993
392347.25,1.004798,-0.045712,0.001613,-0.032451,-0.005404,-0.040386,0.007337398,-0.006780284,0.005788944,-0.003843547,-0.040538297,-0.03248343
392357.125,1.009931,-0.045712,0.004545,-0.031173,-0.00296,-0.04463,0.007372319,-0.003881884,0.010940873,-0.001002379,-0.044577061,-0.031372525
392419,1.009443,-0.046446,0.006011,-0.029255,9.50E-05,-0.038567,0.000883786,0.008871433,0.01048951,0.003646535,-0.038494012,-0.029123726
392429,1.004309,-0.046935,0.003323,-0.028616,-0.007237,-0.033109,-0.001436169,-0.002747309,0.005405835,-0.004241491,-0.033760871,-0.028454681
392439,1.005776,-0.045957,0.004545,-0.032451,-0.000516,-0.029471,0.010675989,0.002490074,0.006775987,0.001407326,-0.029420487,-0.032470415
392449,1.00602,-0.050602,0.004789,-0.032451,-0.001127,-0.025833,-0.006429541,0.002297473,0.00728006,0.000732378,-0.025894996,-0.032412871
392459,1.008709,-0.047179,0.002102,-0.035007,-0.006626,-0.020376,0.00264957,-0.007502126,0.009782561,-0.005707964,-0.020927291,-0.034843119
392469,1.00822,-0.046935,0.006011,-0.027977,-0.003571,-0.020982,0.000654397,0.005046559,0.009316947,-0.002218028,-0.021403594,-0.027797039
392479,1.008709,-0.048401,0.001124,-0.03309,-0.001738,-0.015525,-0.001882844,-0.008822472,0.00982988,-0.001282876,-0.015494587,-0.033125011
392489,1.009931,-0.046446,0.006988,-0.033729,-0.00296,-0.011887,-0.000628204,-0.002763216,0.011018624,-0.002981422,-0.012037625,-0.033673647
392551,1.006754,-0.044245,0.001613,-0.031173,-0.006015,0.016613,0.000126954,-0.008742277,0.007689136,-0.007978645,0.01665214,-0.030707904
392561,1.00822,-0.044001,0.007966,-0.028616,-0.00296,0.023283,-0.000778377,0.006375692,0.009190695,-0.005021916,0.023162193,-0.028425839
392571,1.00822,-0.043512,0.004545,-0.031812,-0.006015,0.023889,-0.009794455,-0.002497477,0.009118105,-0.00792401,0.02383149,-0.031434663
392581,1.009443,-0.039601,0.003568,-0.031173,-0.002349,0.024495,0.003410661,0.002891483,0.010215891,-0.004537359,0.024374995,-0.031025002
392591,1.006998,-0.039601,0.002835,-0.032451,9.50E-05,0.023889,0.000205112,-0.006296223,0.007760668,-0.002021558,0.024126176,-0.032211825
392601,1.01262,-0.040334,0.007477,-0.035646,-0.004182,0.023889,-0.000138533,0.007103535,0.013425637,-0.006422035,0.023694675,-0.035441933
392611,1.011154,-0.04009,0.001857,-0.035646,-0.001127,0.02207,-0.005049987,-0.006487854,0.011916733,-0.003116332,0.022262966,-0.035406795
392621,1.01042,-0.037156,0.004789,-0.030534,-0.004793,0.011762,-0.002245197,-0.003451503,0.011105892,-0.006248193,0.011799801,-0.03025504
392682,1.01042,-0.034711,0.005767,-0.035007,-0.005404,-0.012493,-0.00553173,0.007524508,0.010989352,-0.004313217,-0.01346762,-0.034796375
392692,1.014087,-0.034467,0.005034,-0.031173,-0.004182,-0.016738,0.00188982,0.000169987,0.01468328,-0.002519308,-0.017221775,-0.031088089
392702,1.012131,-0.035445,0.003812,-0.028616,-0.001127,-0.020982,-0.010999672,0.000647954,0.012698686,0.001611798,-0.020960473,-0.028608576
392712,1.014087,-0.0352,0.004789,-0.03309,-0.00296,-0.033716,-0.000743373,-0.002295271,0.014706163,0.001426944,-0.033706169,-0.033201451
392722,1.013109,-0.032267,0.005767,-0.036285,-0.004793,-0.030078,0.003434593,0.008040572,0.013601409,-0.00114316,-0.030727747,-0.036038298
392732,1.010665,-0.035445,0.003079,-0.029895,-0.004182,-0.034322,-0.003592793,-0.003940409,0.011276983,0.000490856,-0.034509488,-0.029967551
392742,1.011887,-0.033,0.004545,-0.029895,-0.003571,-0.048875,0.004905909,0.00583823,0.012406443,0.003248715,-0.04900658,-0.029715814
392752,1.010176,-0.033978,0.004056,-0.032451,-0.004793,-0.04463,0.003955929,0.005186445,0.010734366,0.001261212,-0.045031566,-0.032224906
392814,1.008709,-0.038623,0.005034,-0.029255,-0.007849,-0.074949,0.005403891,0.007840357,0.009415797,0.000594248,-0.07556043,-0.028724252
392823.875,1.008465,-0.039356,0.004301,-0.031812,-0.004182,-0.075555,0.001837916,-0.001786889,0.009238564,0.004262212,-0.075433774,-0.032087844
