time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
828480,0.879886,-0.501641,-0.013046,-0.032451,-0.002349,-0.019769,0.014239515,0.004805016,0.012811637,-0.01894135,-0.019822916,-0.026413554
828489.875,0.879642,-0.503108,-0.013535,-0.029895,-0.002349,-0.021588,-0.002417086,0.000867185,0.013441814,-0.017324193,-0.021542557,-0.024516549
828499.75,0.879642,-0.501152,-0.014268,-0.033729,-0.004182,-0.020982,0.003470991,-0.010705978,0.012422977,-0.020916214,-0.020597486,-0.027085688
828509.625,0.880864,-0.501885,-0.012558,-0.031173,-0.004182,-0.020376,-0.000594553,0.002166698,0.013884902,-0.019533516,-0.020281975,-0.024728722
828519.5,0.880864,-0.501641,-0.014024,-0.026699,-0.001127,-0.022801,0.007082349,-0.009227141,0.013719119,-0.014894764,-0.022563666,-0.022428092
828529.375,0.879886,-0.501885,-0.013291,-0.029895,-0.000516,-0.020376,0.000848875,0.002399924,0.013043976,-0.015776807,-0.020397462,-0.025380988
828539.25,0.879642,-0.502863,-0.01549,-0.036285,-0.000516,-0.015525,-0.006835711,-0.009918562,0.013279863,-0.018630716,-0.015241083,-0.031280967
828549.125,0.879153,-0.500419,-0.012802,-0.03309,-0.00296,-0.022801,-0.004881061,-0.007286289,0.011640326,-0.019369992,-0.022479808,-0.02725907
828612,0.878175,-0.501885,-0.013535,-0.03309,9.50E-05,-0.020376,2.31E-05,0.002401588,0.011561818,-0.016844007,-0.020417729,-0.028452316
828622,0.881598,-0.503108,-0.014512,-0.030534,0.000706,-0.025227,-0.007901726,-0.008212937,0.015092805,-0.01494533,-0.025023969,-0.02682654
828632,0.880131,-0.501397,-0.014268,-0.023504,-0.00296,-0.023408,0.000345779,0.002150456,0.013029299,-0.014802421,-0.023348097,-0.018571182
828642,0.881598,-0.501397,-0.014512,-0.031173,-0.004793,-0.025833,-0.004493906,-0.008702855,0.014262613,-0.020126707,-0.025468825,-0.024664292
828652,0.881598,-0.501152,-0.013779,-0.032451,-0.005404,-0.022195,0.00477023,0.0015197,0.014166237,-0.021425932,-0.022037216,-0.025103369
828662,0.878175,-0.503352,-0.013779,-0.038203,-0.001738,-0.020982,-0.012674552,0.008128447,0.012184623,-0.020653608,-0.02113714,-0.032084014
828672,0.879153,-0.499685,-0.017444,-0.036925,-0.004793,-0.019769,0.002821793,-0.003205995,0.011375869,-0.02301912,-0.01959079,-0.02938644
828682,0.875975,-0.502619,-0.013535,-0.027338,-0.003571,-0.022801,-0.001199804,0.000790888,0.010019401,-0.017275821,-0.022664775,-0.021630023
828745,0.878664,-0.500419,-0.014512,-0.03309,-0.002349,-0.019163,-0.009887041,0.007969876,0.011196779,-0.018660807,-0.019278294,-0.027346081
828755,0.878909,-0.50213,-0.014757,-0.029895,-0.004793,-0.02462,-0.000814126,-0.000773621,0.012339901,-0.019633129,-0.024426853,-0.023252901
828765,0.881598,-0.502619,-0.014024,-0.036285,-0.004793,-0.019769,-0.001908669,0.011531657,0.014840354,-0.022618028,-0.019891388,-0.028690503
828775,0.880131,-0.501641,-0.015245,-0.033729,-0.001127,-0.021588,-0.00123409,-0.001020683,0.013165394,-0.018240407,-0.021498912,-0.028461231
828785,0.878175,-0.499441,-0.013779,-0.031812,-0.004793,-0.023408,0.003192386,-0.010665759,0.010296271,-0.020619363,-0.022928841,-0.025140024
828795,0.882575,-0.502619,-0.011825,-0.03309,-0.003571,-0.018557,-0.000496911,0.002759635,0.015724597,-0.019981632,-0.018394518,-0.026728982
828805,0.881842,-0.50213,-0.013535,-0.024143,9.50E-05,-0.02462,0.001064293,-0.010262027,0.014818508,-0.012579134,-0.024345308,-0.020931059
828815,0.88062,-0.501152,-0.013046,-0.033729,-0.003571,-0.016738,0.001320918,-0.009785074,0.013270752,-0.020293402,-0.016265142,-0.027462358
828877,0.880131,-0.502619,-0.012313,-0.029895,-0.001127,-0.020982,4.23E-05,0.002612039,0.013608022,-0.016399821,-0.020898875,-0.025090006
828887,0.88062,-0.503108,-0.014757,-0.027977,-0.005404,-0.020982,-0.003161807,-0.010938394,0.014247193,-0.019103509,-0.020524586,-0.021586046
828897,0.876464,-0.49993,-0.012558,-0.034368,-0.003571,-0.022195,-0.002746996,0.002795747,0.009089436,-0.020694486,-0.02203129,-0.027800899
828907,0.883553,-0.501152,-0.011825,-0.031812,-0.003571,-0.026439,-0.003772404,-0.007513922,0.015819064,-0.019475576,-0.025990063,-0.025864931
828917,0.884775,-0.500419,-0.012069,-0.034368,-0.002349,-0.025227,0.002546143,0.003145479,0.016550668,-0.019777487,-0.025086832,-0.028329854
828927,0.884775,-0.502374,-0.012802,-0.030534,-0.004793,-0.031897,0.000244974,-0.008919946,0.01749236,-0.020194072,-0.031405806,-0.024053927
828937,0.882331,-0.501885,-0.012802,-0.029895,-0.001127,-0.037354,-0.00163243,0.002740264,0.015160216,-0.016837284,-0.037252005,-0.024881649
828947,0.881842,-0.500419,-0.011825,-0.03309,-0.00296,-0.034322,-0.000569808,0.003668317,0.013997307,-0.019916021,-0.034155689,-0.026803926
