time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
1331148,0.111105,-1.003285,-0.026973,-0.027338,-0.00296,-0.030078,0.007994167,0.009971205,0.00969764,-0.027578311,-0.029978092,0.001250882
1331157.875,0.110372,-1.002552,-0.027706,-0.039481,-0.004793,-0.028258,-0.014170968,-0.005320861,0.0088761,-0.039866304,-0.028118552,0.000511452
1331167.75,0.112816,-1.002552,-0.026729,-0.025421,9.50E-05,-0.028865,-0.004904829,0.011086265,0.00916076,-0.025326177,-0.028880765,-0.00197753
1331177.625,0.114038,-1.00084,-0.029905,-0.034368,-0.006015,-0.025227,-0.007905618,-0.009606687,0.007682933,-0.034932441,-0.025061548,0.002320459
1331187.5,0.115016,-1.005241,-0.029416,-0.032451,-0.005404,-0.028865,0.004674937,-0.010476584,0.012161961,-0.03293882,-0.028720387,0.002373263
1331197.375,0.112816,-1.002307,-0.025263,-0.034368,-0.004793,-0.022195,0.005655289,0.010708194,0.008879747,-0.034741119,-0.022049553,0.001903192
1331207.25,0.110861,-1.002307,-0.028683,-0.030534,-0.003571,-0.028865,-0.009472656,-0.008969391,0.00874279,-0.030838657,-0.028758019,0.000467986
1331217.125,0.114283,-1.004263,-0.025507,-0.028616,-0.003571,-0.03129,5.12E-18,2.28E-16,0.011066459,-0.028925918,-0.031189243,0.001101822
1331280,0.114283,-1.001329,-0.028683,-0.037564,-0.003571,-0.025227,0.005742894,0.007681631,0.008191994,-0.037797899,-0.025126795,0.000413105
1331290,0.112083,-1.001329,-0.028928,-0.030534,-0.004182,-0.02462,-0.012513636,0.007726993,0.00789032,-0.03090552,-0.024478462,0.001269808
1331300,0.112572,-1.002552,-0.029172,-0.038203,-0.003571,-0.022195,-0.016088971,-0.001949361,0.009143854,-0.038427844,-0.022081906,-0.000727659
1331310,0.114038,-1.001818,-0.028928,-0.03309,-0.005404,-0.025833,0.013825968,-0.005332831,0.008593676,-0.033538243,-0.025679539,0.002691231
1331320,0.112816,-1.002063,-0.028439,-0.029895,-0.002349,-0.027046,0.015874772,0.000529898,0.008669516,-0.03005606,-0.026968329,0.000239718
