time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
33075,0.134816,-1.000351,-0.013291,-0.042676,-0.007849,-0.022195,0.010866987,0.004024775,0.009415592,-0.043352915,-0.022077826,0.002925767
33084.875,0.13335,-1.000596,-0.013779,-0.04012,-0.004182,-0.02462,-0.001876052,2.78E-05,0.009535001,-0.040362528,-0.024562515,-0.000892798
33094.75,0.132616,-1.00084,-0.014268,-0.036925,-0.004793,-0.029471,0.002568852,0.007744798,0.009655735,-0.037284118,-0.02940163,0.000637999
33104.625,0.131883,-1.000351,-0.018422,-0.048428,-0.007849,-0.031897,0.000347593,-0.004673288,0.009164337,-0.049091056,-0.031792156,0.001903576
33114.5,0.13115,-1.001329,-0.014757,-0.038203,-0.007849,-0.030078,0.000601317,0.008022953,0.009956993,-0.038946171,-0.029942554,0.003521552
33124.375,0.130905,-0.999862,-0.0172,-0.042676,-0.006626,-0.028258,-0.001591423,-0.00261223,0.008536872,-0.043223822,-0.028168817,0.00137055
33134.25,0.132616,-1.000596,-0.012802,-0.041398,-0.004793,-0.028258,0.003095742,-0.006155863,0.009403671,-0.041717197,-0.028192516,-0.000373315
33144.125,0.131639,-1.000351,-0.012313,-0.041398,-0.004793,-0.029471,0.002159065,-0.00566776,0.009032098,-0.041719191,-0.029405488,-0.000365322
33206,0.129927,-1.000351,-0.014757,-0.038203,-0.006015,-0.025227,0.003629688,0.008709334,0.008817075,-0.038701946,-0.025121293,0.001769449
33216,0.12895,-0.999862,-0.016711,-0.04012,-0.003571,-0.022195,-0.00267238,-0.000859733,0.008277491,-0.040286079,-0.022140466,-0.001347606
33226,0.133594,-1.003285,-0.012802,-0.037564,-0.004182,-0.025227,-0.001200866,-0.005122529,0.012207665,-0.037835857,-0.025158485,-0.000665814
33236,0.132861,-1.000596,-0.011825,-0.042676,-0.006626,-0.028865,0.002193646,0.00448891,0.009435124,-0.043230195,-0.028761089,0.001510983
33246,0.13115,-1.000351,-0.014268,-0.037564,-0.004182,-0.028865,-0.001991232,-0.006124908,0.008991844,-0.037843575,-0.028796901,-0.000577744
33256,0.131883,-1.000351,-0.011581,-0.04715,-0.006626,-0.021588,0.001402796,0.005463719,0.009057753,-0.04765162,-0.021486998,0.000836719
33266,0.131394,-1.000596,-0.013291,-0.039481,-0.007849,-0.027652,0.006145946,-0.003692582,0.009248226,-0.040200605,-0.027549576,0.003149845
33276,0.129194,-1.000351,-0.015245,-0.042676,-0.003571,-0.030078,0.003989794,-0.005647457,0.008750619,-0.042844295,-0.030014817,-0.001468409
33386,0.128705,-1.000351,-0.015245,-0.042676,-0.007237,-0.027046,-0.012576312,-0.000478031,0.008633292,-0.04332511,-0.026935385,0.001587788
33396,0.12895,-1.001085,-0.015245,-0.043315,-0.009682,-0.023408,-0.000331909,0.000241461,0.009470912,-0.044242211,-0.023259768,0.004413027
33406,0.132127,-1.000351,-0.015001,-0.038203,-0.007237,-0.030078,-0.003443336,-0.006798651,0.009121707,-0.038887039,-0.029985142,0.002284494
33416,0.130416,-1.00084,-0.014024,-0.039481,-0.006626,-0.027046,-0.000670749,0.002719961,0.0093948,-0.040058709,-0.026941882,0.001890555
33426,0.13115,-1.001329,-0.015978,-0.043954,-0.00296,-0.020376,-0.00187354,-0.007595763,0.009977316,-0.044000889,-0.020312793,-0.002685005
33436,0.131394,-1.000351,-0.014757,-0.036925,-0.001738,-0.026439,-0.003067722,0.002772884,0.009042703,-0.036879122,-0.026418371,-0.002738073
33446,0.133594,-1.00084,-0.012558,-0.044594,-0.007849,-0.027652,0.005994695,-0.001764676,0.009775577,-0.045279244,-0.027544151,0.002444291
33456,0.129927,-1.000351,-0.013046,-0.041398,-0.007237,-0.028258,0.002418023,-0.002256217,0.008832201,-0.042032642,-0.028158264,0.002247728
36355,-0.009162,-0.962948,-0.284249,0.647537,2.15882,0.503525,0.010388162,-0.004221796,0.004004258,0.601356695,-0.132652052,-2.225785017
36365,-0.019918,-0.945102,-0.280584,0.599606,2.149655,0.458653,-0.003534305,-0.001674656,-0.013933774,0.55508008,-0.192425412,-2.201309863
36375,-0.018207,-0.922856,-0.275209,0.556148,2.130713,0.413782,-0.005720309,0.00128998,-0.036828001,0.513219529,-0.248291304,-2.166889746
36385,-0.01454,-0.904276,-0.274965,0.511412,2.115438,0.373156,-0.005508436,0.000497478,-0.054747834,0.467043198,-0.29969056,-2.137269703
36395,-0.011607,-0.895231,-0.279851,0.468593,2.097718,0.319796,-9.74E-05,-0.003971038,-0.061983972,0.406143362,-0.357070573,-2.10471325
36405,-0.018451,-0.896942,-0.283761,0.416188,2.078166,0.265223,-0.000795089,-0.012667108,-0.059146872,0.326949311,-0.390722677,-2.074311826
